fecha,tipo,categoria,concepto,importe
2024-02-01,gasto,Otros,cambio de nombre sh 2/3,67.69
2024-02-02,gasto,Ocio,alchol esquiada,6.60
2024-02-04,gasto,Alimentación,dinar mercadona,5.05
2024-02-05,gasto,Vivienda,agua,1.00
2024-02-10,gasto,Alimentación,almuerzo sandra,2.70
2024-02-11,gasto,Otros,coach la roca,53.10
2024-02-16,gasto,Alimentación,Sopar macdo,5.60
2024-02-17,gasto,Alimentación,Dinar san valentin,32.90
2024-03-18,gasto,Ocio,KIte surf fone 11m,396.00
2024-03-22,gasto,Otros,clara,2.40
2024-03-22,gasto,Otros,kiki angelo,3.80
2024-03-22,gasto,Alimentación,Dinar sandra,6.83
2024-03-28,gasto,Transporte,Gasolina coche papa ( sant pere),25.00
2024-03-28,gasto,Alimentación,Dinar sandra enjoy it empuria,27.15
2024-03-29,gasto,Otros,bizum benito chofa costa,5.00
2024-03-29,gasto,Otros,alchol costa,3.75
2024-03-30,gasto,Alimentación,bzium dani  pizzas costa,9.12
2024-04-01,gasto,Otros,cubata deleito llafrnch,10.00
2024-04-01,gasto,Ocio,entrada costa,13.00
2024-04-05,gasto,Otros,bizum dani,2.25
2024-04-05,gasto,Ocio,gym,7.65
2024-04-10,gasto,Otros,pa papa,0.75
2024-04-10,gasto,Otros,pollo dieta,3.46
2024-04-10,gasto,Alimentación,macdo leucat,6.00
2024-04-11,gasto,Otros,camiseta negra,9.95
2024-04-12,gasto,Ocio,entrada bling,15.00
2024-04-12,gasto,Transporte,taxi bling,2.30
2024-04-13,gasto,Ocio,copa 54,6.00
2024-04-13,gasto,Otros,entrda clasisc,12.00
2024-04-13,gasto,Otros,champanelle,2.00
2024-04-25,gasto,Otros,tato,12.70
2024-05-05,gasto,Otros,champanelle,7.80
2024-05-11,gasto,Otros,alchol,1.45
2024-05-12,gasto,Otros,jarra,7.00
2024-05-12,gasto,Ocio,entrada,12.00
2024-05-12,gasto,Ocio,bravas barbut,2.40
2024-05-15,gasto,Ropa,zara,42.90
2024-05-18,gasto,Otros,sorli,2.20
2024-05-18,gasto,Alimentación,kebab,5.00
2024-05-18,gasto,Otros,verdaguer,2.70
2024-05-18,gasto,Otros,orxata,2.75
2024-05-18,gasto,Otros,andrew came,3.00
2024-05-18,gasto,Otros,retrovisor,10.85
2024-05-19,gasto,Transporte,gasolina coche,7.00
2024-05-19,gasto,Ocio,entrada coca,2.00
2024-05-22,gasto,Otros,fulles mates,7.40
2024-05-28,gasto,Transporte,parking feina,3.50
2024-05-28,gasto,Educación,examen conta exercici 2,7.50
2024-05-28,gasto,Educación,clases jose antonio,25.00
2024-05-30,gasto,Alimentación,bocata uni,4.50
2024-05-30,gasto,Otros,alchol jueves bling,4.79
2024-05-31,gasto,Ocio,entrada blinhg,15.00
2024-05-31,gasto,Otros,tabaco ribs andrew,5.60
2024-06-01,gasto,Otros,tabac andrew,2.50
2024-06-02,gasto,Alimentación,cena champa squirt,6.90
2024-06-02,gasto,Transporte,gasolina moto,10.00
2024-06-05,gasto,Otros,scloca beer,3.00
2024-06-05,gasto,Otros,cen angelita  (cash),7.00
2024-06-08,gasto,Otros,clasic,12.00
2024-06-09,gasto,Otros,teatre,15.00
2024-06-10,gasto,Ocio,Padel premia,13.00
2024-06-10,gasto,Ocio,hotel laga,122.50
2024-06-12,gasto,Ocio,padel vilassar de mar,7.65
2024-06-13,gasto,Otros,apuesta beni,10.00
2024-06-18,gasto,Alimentación,pizza casa han,3.90
2024-06-18,gasto,Otros,vuelo niza,70.00
2024-06-18,gasto,Otros,transporte niza,14.00
2024-06-18,gasto,Otros,tabac sil,4.65
2024-06-22,gasto,Otros,el patio,20.00
2024-06-24,gasto,Otros,Cubata nautic,6.00
2024-06-26,gasto,Otros,paquete nice,10.90
2024-06-26,gasto,Alimentación,comida nice,25.00
2024-06-26,gasto,Alimentación,desayuno nice,1.90
2024-06-26,gasto,Transporte,gasolina papa,10.00
2024-06-30,gasto,Otros,VIP cocoa,27.00
2024-07-01,gasto,Alimentación,bocata caixa,3.10
2024-07-02,gasto,Alimentación,bocata caixa,2.30
2024-07-06,gasto,Otros,Tabaco,5.45
2024-07-06,gasto,Otros,Bbq palamaos,20.00
2024-07-06,gasto,Ocio,Entrada costa,16.50
2024-07-06,gasto,Otros,Jijo palamaos,3.40
2024-07-06,gasto,Alimentación,Cena palamos,1.45
2024-07-06,gasto,Otros,Alchol costa,4.28
2024-07-07,gasto,Alimentación,Burger king carrefour,4.99
2024-07-07,gasto,Otros,Chofa palamos vilassar,6.25
2024-07-07,gasto,Otros,Clara andana,2.50
2024-07-07,gasto,Otros,Champa,9.80
2024-07-09,gasto,Alimentación,bocata caixa,3.00
2024-07-12,gasto,Otros,Reparación choche embrague,80.60
2024-07-19,gasto,Otros,clara oblikue,2.10
2024-07-19,gasto,Alimentación,bocata caixa,3.00
2024-07-20,gasto,Otros,La caleta,2.50
2024-07-21,gasto,Otros,alchol uri,3.80
2024-07-21,gasto,Ocio,entrada cocoa,12.00
2024-07-23,gasto,Transporte,Gasolina moto,8.00
2024-07-23,gasto,Alimentación,Bocata caixa,3.00
2024-07-24,gasto,Transporte,Gasolina coche papa,10.00
2024-07-30,gasto,Otros,laga gastos alli,163.00
2024-08-01,gasto,Transporte,Taller papa coche,80.00
2024-08-01,gasto,Otros,Cubata uri cabrera,7.00
