fecha,tipo,categoria,concepto,importe
2025-12-08,gasto,Otros,domingeo,12.02
2025-12-09,gasto,Transporte,gasolina moto,8.00
2025-12-09,gasto,Otros,hachu jan,7.00
2025-12-10,gasto,Alimentación,comida casa,3.75
2025-12-13,gasto,Transporte,coche mama,25.00
2025-12-15,gasto,Alimentación,pizzas a casa mes peli,12.60
2025-12-17,gasto,Otros,corte de pelo,12.00
2025-12-18,gasto,Alimentación,bocata feina,3.15
2025-12-19,gasto,Alimentación,cena angelita,6.95
2025-12-19,gasto,Ocio,ESQUIADA JOVE VDM,135.00
2025-12-21,gasto,Ocio,bling + regalo uri,39.60
2025-12-22,gasto,Transporte,SEGURO MOTO,252.77
2025-12-22,gasto,Otros,ipad,68.00
2025-12-22,gasto,Ocio,REGAL MAMA,21.00
2025-12-23,gasto,Ocio,aliexpres taula de surf,24.42
2025-12-23,gasto,Otros,CITA EROLA,7.50
2025-12-23,gasto,Alimentación,cena aupa,8.00
2025-12-24,gasto,Otros,favel,2.80
2025-12-26,gasto,Ocio,fiesta,27.90
2025-12-26,gasto,Alimentación,cena legna,15.50
2025-12-27,gasto,Suscripciones,CHAT GPT,21.39
2025-12-29,gasto,Alimentación,cena aupa,7.00
2025-12-30,gasto,Alimentación,cena domingo nau,15.00
2025-12-30,gasto,Alimentación,cena nau,5.30
2026-01-01,gasto,Ocio,fiesta,18.12
2026-01-02,gasto,Ocio,baqueira,6.50
2026-01-05,gasto,Transporte,gasolina moto,9.50
2026-01-06,gasto,Otros,reilos,14.65
2026-01-09,gasto,Ocio,multa baqueira,25.00
2026-01-09,gasto,Impuestos/Tasas,Pago hacienda,106.40
2026-01-14,gasto,Educación,carnet jove,8.65
2026-01-15,gasto,Alimentación,bocata,3.85
2026-01-16,gasto,Ocio,camisa+ regals,38.00
2026-01-18,gasto,Ocio,cerveza,2.45
2026-01-19,gasto,Alimentación,fet a ma +barbocata,39.53
2026-01-21,gasto,Suscripciones,CHATGPT,21.23
2026-01-24,gasto,Ocio,festa classic,21.55
2026-01-29,gasto,Ocio,Deale birras+tabac,11.50
2026-01-30,gasto,Otros,fandango gin,16.00
2026-02-01,gasto,Impuestos/Tasas,pago hacienda,106.40
2026-02-01,gasto,Alimentación,cena post baqueira,16.15
2026-02-06,gasto,Ocio,alchol baqueira,7.18
2026-02-06,gasto,Transporte,llave coche,3.53
2026-02-07,gasto,Otros,origens + pelu,30.00
2026-02-09,gasto,Transporte,moto cooltra,3.33
2026-02-12,gasto,Otros,relieve llave c.+ bermut merions jan,17.50
2026-02-13,gasto,Suscripciones,sub. CLAUDE,21.78
2026-02-13,gasto,Ocio,Hotel marruecos,62.00
2026-02-13,gasto,Otros,coviran,15.48
2026-02-28,gasto,Otros,origens,5.00
2026-02-28,gasto,Alimentación,comida casa andrea,20.00
2026-03-01,gasto,Impuestos/Tasas,Pago hacienda,106.40
2026-03-01,gasto,Alimentación,domingo cena,15.30
2026-03-02,gasto,Transporte,gasolina coche,10.00
2026-03-07,gasto,Alimentación,regal han +cena,18.90
2026-03-08,gasto,Alimentación,fiesta + cena domingo,18.80
2026-03-15,gasto,Ocio,Viaje Marruecos,194.10
2026-03-15,gasto,Alimentación,cena domingo,8.60
2026-03-19,gasto,Alimentación,cena+barça,12.77
2026-03-21,gasto,Otros,milonga + cocoa,66.14
2026-03-25,gasto,Ocio,birra alex bcn,6.00
2026-04-01,gasto,Otros,pelu,20.00
2026-04-02,gasto,Ocio,favela after work+ padel,21.85
2026-04-03,gasto,Transporte,gasolina coche,20.00
2026-04-04,gasto,Ropa,Ropa,126.18
2026-04-05,gasto,Ocio,Fiesta,30.00
2026-04-06,gasto,Alimentación,cena domingo,10.20
2026-04-09,gasto,Transporte,gasolina moto,7.00
2026-04-11,gasto,Ocio,Padel,13.15
2026-04-12,gasto,Alimentación,cena + bar cros,16.60
2026-04-13,gasto,Ocio,entrada mimus cocoa,11.00
2026-04-13,gasto,Suscripciones,claude,21.78
2026-04-14,gasto,Alimentación,comida trabajo,20.12
2026-04-17,gasto,Alimentación,cena,6.50
2026-04-19,gasto,Ocio,sabado fiesta,22.91
2026-04-20,gasto,Alimentación,cena legna,7.95
2026-04-22,gasto,Otros,aliexpres pad,13.60
2026-04-23,gasto,Otros,sant jordi,10.99
2026-04-25,gasto,Transporte,gasolina moto,10.00
2026-04-30,gasto,Otros,gastos,71.50
2026-05-01,gasto,Alimentación,cena aupa,12.25
2026-05-02,gasto,Otros,palamos,7.09
2026-05-03,gasto,Ocio,fiesta,20.70
2026-05-08,gasto,Alimentación,cena casa clavo,8.84
2026-05-13,gasto,Suscripciones,claude,21.78
2026-05-13,gasto,Otros,Nel pelu,12.00
2026-05-18,gasto,Otros,lunes post operacion,2.10
2026-05-21,gasto,Transporte,gasolina moto,6.00
2026-05-22,gasto,Alimentación,masque sushi,17.05
2026-05-23,gasto,Ocio,Fiesta,25.35
2026-05-24,gasto,Ocio,Fiesta terra,27.00
2026-05-25,gasto,Otros,palomitas +tensi,1.20
2026-05-30,gasto,Ocio,Fiesta,31.39
2026-05-31,gasto,Otros,Domingo,33.56
2026-06-03,gasto,Ocio,birra bcn,3.20
2026-06-04,gasto,Alimentación,comida maria,22.75
2026-06-05,gasto,Transporte,gasolina paula,12.00
2026-06-06,gasto,Salud,bcn 29 medica,12.23
2026-06-06,gasto,Otros,noche loca,53.25
2026-06-09,gasto,Ropa,Ropa graduación,190.00
2026-06-10,gasto,Ocio,bbq+ fiesta,38.20
2026-06-10,gasto,Transporte,gasolina paula +tabac,12.00
2026-06-11,gasto,Alimentación,comida trabajo,7.68
2026-06-13,gasto,Suscripciones,Claude,21.78
2026-06-13,gasto,Ocio,fiesta,31.45
2026-06-14,gasto,Alimentación,comida atlantida,15.07
2026-06-14,gasto,Otros,tarde,5.75
2026-06-15,gasto,Alimentación,work bocata,2.80
2026-06-15,gasto,Transporte,gasolina moto,8.00
2026-06-16,gasto,Ocio,nel barberia,12.00
2026-06-16,gasto,Ocio,regal toni,18.00
2026-06-19,gasto,Ocio,birras bcn,26.80
2026-06-22,gasto,Otros,IBIZA,141.10
2026-06-26,gasto,Ocio,Padel,23.70
2026-07-01,gasto,Otros,mancha Kite,27.99
2026-07-01,gasto,Otros,Kite+palamos,71.40
2026-07-02,gasto,Otros,Chiri kaluret españa,3.00
2026-07-07,gasto,Ocio,regalo bebe cata,5.00
2026-12-28,gasto,Ocio,fiesta,30.00
2026-12-31,gasto,Otros,cerdaña chavles,94.15
